size_kbytes rate
927.536 1307.639
4778.91 1281.519
4509.81 705.914
2677.44 459.823
3806.78 495.484
2570.8 490.747
12750.9 1242.118
476.211 44.149
20971 1001.176
6182.71 1256.070
6742.49 1234.485
2389.3 1293.403
3140.65 1225.473
1775.78 1231.773
8766.6 1231.260
1841.33 488.553
3113.91 427.244
10296.9 919.745
6034.45 1252.462
2369.83 1214.660
1562.86 1325.048
11560.3 1233.924
3707.02 1273.498
2804.85 1226.616
4873.12 497.136
3115.33 1266.979
6629.4 493.221
6356.01 496.636
3345.68 1275.107
2458.81 758.580
2106.12 1381.521
2052.49 1260.406
14608.9 1240.478
4565.3 495.600
15676.5 671.081
16748.7 1236.555
1065.56 1325.723
8440.16 1221.597
14.2578 191.871
891.113 677.066
10297.1 1215.822
11590.6 1242.173
1844.43 768.679
12384.1 1145.860
4196.19 671.666
11865.6 1229.472
8695.52 495.138
1688.49 1310.072
2338.24 667.657
7018.88 1019.236
1343.09 628.025
68.4375 417.730
1212.28 484.802
4515.4 1204.507
9246.35 1236.200
8044.93 1253.067
5438.51 672.848
129.746 1113.085
6064.68 1243.901
787.393 491.863
15.6836 481.083
7798.56 633.932
3984.71 1272.614
6278.97 1254.785
7846.87 1004.884
10419.1 1025.899
887.953 1239.097
11178.5 1245.916
7493.9 1207.176
8684.77 1241.806
14467.6 491.986
2082.86 1114.983
3558.41 489.670
5085.3 670.409
8502.64 1230.313
8059.17 786.578
2916.42 1275.370
8609.3 1232.032
1516.11 1309.458
22433.2 493.330
2226.15 492.353
2434.33 496.329
10576.8 492.753
1262.32 492.476
14573.9 852.512
10172.6 1225.094
2891.48 501.576
12792.2 1244.547
2108.1 494.960
7698.75 1222.041
14544.1 1234.565
3424.73 491.292
1698.69 494.781
1988.35 966.558
1506.2 1283.928
25890 657.971
886.93 1374.325
372.129 1452.337
852.617 732.753
505.446 1188.297
2389.43 401.859
12332.3 1237.339
8693.15 483.761
7579.38 4425.107
1306.76 1172.097
19247.8 1230.478
3590.91 1241.593
2765.86 1293.306
10602.2 1241.943
19010.7 491.983
9283.21 1243.993
622.513 1284.874
2028.8 1197.124
4185.28 1262.617
8410.06 491.589
3061.75 1213.259
17825.3 673.676
18959.8 1234.383
2082.49 1284.389
